section,scenario,convention,config,seed,p_labor0,floor_M,term_real_med_M
2_floor_decay,Sa_run-2pp,lagged,,20260632,0.986,3.6,
2_floor_decay,Sa_run-2pp,lagged,,20260633,0.983,3.6,
2_floor_decay,Sb_run-5pp,lookahead,,20260629,1.0,1.2,
2_floor_decay,Sb_run-5pp,lookahead,,20260630,1.0,1.2,
2_floor_decay,Sb_run-5pp,lookahead,,20260631,1.0,1.2,
2_floor_decay,Sb_run-5pp,lookahead,,20260632,1.0,1.2,
2_floor_decay,Sb_run-5pp,lookahead,,20260633,1.0,1.2,
2_floor_decay,Sb_run-5pp,lookahead,,20260629,1.0,1.6,
2_floor_decay,Sb_run-5pp,lookahead,,20260630,1.0,1.6,
2_floor_decay,Sb_run-5pp,lookahead,,20260631,1.0,1.6,
2_floor_decay,Sb_run-5pp,lookahead,,20260632,1.0,1.6,
2_floor_decay,Sb_run-5pp,lookahead,,20260633,1.0,1.6,
2_floor_decay,Sb_run-5pp,lookahead,,20260629,1.0,2.0,
2_floor_decay,Sb_run-5pp,lookahead,,20260630,1.0,2.0,
2_floor_decay,Sb_run-5pp,lookahead,,20260631,0.9995,2.0,
2_floor_decay,Sb_run-5pp,lookahead,,20260632,1.0,2.0,
2_floor_decay,Sb_run-5pp,lookahead,,20260633,0.9995,2.0,
2_floor_decay,Sb_run-5pp,lookahead,,20260629,1.0,2.4,
2_floor_decay,Sb_run-5pp,lookahead,,20260630,1.0,2.4,
2_floor_decay,Sb_run-5pp,lookahead,,20260631,0.999,2.4,
2_floor_decay,Sb_run-5pp,lookahead,,20260632,0.999,2.4,
2_floor_decay,Sb_run-5pp,lookahead,,20260633,0.9995,2.4,
2_floor_decay,Sb_run-5pp,lookahead,,20260629,0.998,2.8,
2_floor_decay,Sb_run-5pp,lookahead,,20260630,0.9995,2.8,
2_floor_decay,Sb_run-5pp,lookahead,,20260631,0.998,2.8,
2_floor_decay,Sb_run-5pp,lookahead,,20260632,0.998,2.8,
2_floor_decay,Sb_run-5pp,lookahead,,20260633,0.9985,2.8,
2_floor_decay,Sb_run-5pp,lookahead,,20260629,0.997,3.2,
2_floor_decay,Sb_run-5pp,lookahead,,20260630,0.997,3.2,
2_floor_decay,Sb_run-5pp,lookahead,,20260631,0.9965,3.2,
2_floor_decay,Sb_run-5pp,lookahead,,20260632,0.9955,3.2,
2_floor_decay,Sb_run-5pp,lookahead,,20260633,0.997,3.2,
2_floor_decay,Sb_run-5pp,lookahead,,20260629,0.9945,3.6,
2_floor_decay,Sb_run-5pp,lookahead,,20260630,0.9945,3.6,
2_floor_decay,Sb_run-5pp,lookahead,,20260631,0.9935,3.6,
2_floor_decay,Sb_run-5pp,lookahead,,20260632,0.9935,3.6,
2_floor_decay,Sb_run-5pp,lookahead,,20260633,0.9915,3.6,
2_floor_decay,Sb_run-5pp,lagged,,20260629,1.0,1.2,
2_floor_decay,Sb_run-5pp,lagged,,20260630,1.0,1.2,
2_floor_decay,Sb_run-5pp,lagged,,20260631,1.0,1.2,
2_floor_decay,Sb_run-5pp,lagged,,20260632,1.0,1.2,
2_floor_decay,Sb_run-5pp,lagged,,20260633,1.0,1.2,
2_floor_decay,Sb_run-5pp,lagged,,20260629,1.0,1.6,
2_floor_decay,Sb_run-5pp,lagged,,20260630,1.0,1.6,
2_floor_decay,Sb_run-5pp,lagged,,20260631,0.9995,1.6,
2_floor_decay,Sb_run-5pp,lagged,,20260632,0.9995,1.6,
2_floor_decay,Sb_run-5pp,lagged,,20260633,1.0,1.6,
2_floor_decay,Sb_run-5pp,lagged,,20260629,0.9995,2.0,
2_floor_decay,Sb_run-5pp,lagged,,20260630,1.0,2.0,
2_floor_decay,Sb_run-5pp,lagged,,20260631,0.999,2.0,
2_floor_decay,Sb_run-5pp,lagged,,20260632,0.9995,2.0,
2_floor_decay,Sb_run-5pp,lagged,,20260633,0.999,2.0,
2_floor_decay,Sb_run-5pp,lagged,,20260629,0.9985,2.4,
2_floor_decay,Sb_run-5pp,lagged,,20260630,0.999,2.4,
2_floor_decay,Sb_run-5pp,lagged,,20260631,0.997,2.4,
2_floor_decay,Sb_run-5pp,lagged,,20260632,0.999,2.4,
2_floor_decay,Sb_run-5pp,lagged,,20260633,0.997,2.4,
2_floor_decay,Sb_run-5pp,lagged,,20260629,0.994,2.8,
2_floor_decay,Sb_run-5pp,lagged,,20260630,0.9945,2.8,
2_floor_decay,Sb_run-5pp,lagged,,20260631,0.994,2.8,
2_floor_decay,Sb_run-5pp,lagged,,20260632,0.9925,2.8,
2_floor_decay,Sb_run-5pp,lagged,,20260633,0.9915,2.8,
2_floor_decay,Sb_run-5pp,lagged,,20260629,0.9875,3.2,
2_floor_decay,Sb_run-5pp,lagged,,20260630,0.987,3.2,
2_floor_decay,Sb_run-5pp,lagged,,20260631,0.986,3.2,
2_floor_decay,Sb_run-5pp,lagged,,20260632,0.9865,3.2,
2_floor_decay,Sb_run-5pp,lagged,,20260633,0.9855,3.2,
